D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
170073354,3,4,4,4,4,4,4
170073355,4,3,4,3,2,2,4
170073362,3,3,3,4,2,3,3
170073363,1,1,1,1,1,1,1
170073432,1,1,3,3,1,1,3
170073433,2,2,3,3,2,2,3
170073449,2,2,3,3,1,1,3
170073457,1,1,3,1,1,1,1
170073458,2,2,3,4,2,1,2
170073459,3,1,3,3,3,3,3
170073463,3,1,3,3,1,3,3
170073471,4,3,3,3,3,4,4
170073472,1,1,2,2,2,2,2
170073479,1,1,3,3,1,1,3
170073480,1,3,4,4,3,3,3
170073482,3,3,3,4,4,4,4
170073484,4,4,4,4,3,4,4
170073487,4,1,1,4,1,1,4
170073488,1,1,1,4,1,1,1
170073538,3,2,3,4,2,3,4
170073540,3,3,3,3,1,3,3
170073559,3,1,3,3,1,1,3
170073582,3,1,4,3,2,3,3
170073584,3,4,3,3,3,3,3
170073588,3,2,4,4,3,3,4
170073614,2,3,3,3,1,2,3
170073615,3,3,1,3,3,3,3
170073616,3,3,3,3,1,3,3
170073617,3,3,3,3,3,3,3
170073626,4,4,4,4,4,4,4
170073627,3,4,4,4,3,4,4
170073628,3,1,4,4,4,3,4
170073630,3,4,3,4,4,4,4
170073632,2,4,3,3,3,2,3
170073637,3,3,3,4,4,3,4
170073640,3,1,3,4,3,3,4
170073642,3,3,3,3,2,3,3
170073643,3,1,3,4,3,3,3
170073649,2,2,2,3,1,2,1
170073695,2,2,4,3,2,2,3
170073746,3,3,4,4,2,3,3
170073747,3,3,4,4,1,3,4
170073753,2,2,3,2,2,2,2
170073754,3,2,4,4,1,3,4
170073761,3,3,3,3,1,1,3
170073764,3,3,3,3,3,3,3
170073765,3,2,2,4,4,1,4
170073766,1,2,3,3,1,2,3
170073783,2,2,3,4,4,3,3
170073787,3,1,3,3,1,1,3
170073788,3,3,2,3,3,3,3
170073795,3,1,3,3,3,3,3
170073818,2,2,3,2,2,2,4
170073867,3,3,3,3,2,3,3
170073868,1,2,4,4,2,2,2
170073870,1,4,4,4,1,1,2
170073871,1,1,4,4,1,2,4
170073904,2,2,3,1,1,2,3
170073905,1,2,3,1,1,1,1
170073906,3,3,3,4,1,1,4
170073913,1,3,3,3,3,3,3
170073914,2,2,3,3,2,2,3
170073915,1,1,2,4,1,1,2
170073952,3,3,3,3,3,3,3
170074030,3,3,3,4,3,3,3
170074031,3,2,3,3,2,2,3
170074032,4,3,2,4,4,4,4
170074037,3,1,4,4,1,2,4
170074038,3,3,3,4,4,3,4
170074040,3,1,4,4,4,4,4
170074041,4,1,4,4,1,4,4
170074064,3,3,4,4,4,4,4
170074071,3,4,4,4,1,3,3
170074073,3,3,3,3,3,3,3
170074077,3,1,4,4,4,4,4
170074124,3,2,4,4,3,3,3
170074125,4,2,4,4,2,2,2
170074163,1,3,3,3,1,3,3
170074164,1,1,1,1,1,1,1
170074168,1,1,3,1,1,3,1
170074169,1,1,1,1,1,1,1
170074178,1,3,2,1,1,1,1
170074186,2,1,3,3,1,1,3
170074199,3,2,3,3,1,3,3
170074200,1,1,1,3,3,1,3
170074201,1,1,1,3,1,1,3
170074202,3,3,3,3,3,3,3
170074204,2,2,2,2,2,2,2
170074205,3,3,3,3,3,3,3
170074208,1,1,3,4,1,1,3
170074211,1,1,3,3,1,1,1
170074213,3,1,3,4,1,1,1
170074214,3,3,3,3,3,3,3
170074217,2,2,3,4,1,2,2
170074222,3,1,3,3,2,3,3
170074223,3,3,4,4,3,3,4
170074225,1,1,4,4,1,3,4
170074230,3,1,4,3,1,4,4
170074231,4,3,2,3,3,4,4
170074232,3,4,4,4,4,4,4
170074236,3,3,3,3,3,3,3
170074237,3,2,3,4,3,2,3
170074238,4,3,3,4,4,4,4
170074239,4,3,4,4,4,4,4
170074240,3,3,2,1,3,2,4
170074241,3,1,4,4,1,2,4
170074242,4,3,4,4,4,4,4
170074245,3,3,4,3,3,3,3
170074248,4,4,3,4,4,4,4
170074249,3,1,3,3,1,3,3
170074252,4,3,4,4,3,4,4
170074255,4,2,4,4,1,3,4
170074256,3,3,4,4,2,3,4
170074257,1,3,3,1,1,1,1
170074258,4,3,4,4,3,3,3
170074261,3,1,3,4,3,3,3
170074264,3,3,4,4,4,3,4
170074271,3,3,3,3,3,3,3
170074274,3,2,4,4,2,3,4
170074275,4,3,3,3,4,4,4
170074283,3,3,3,4,3,3,3
170074287,3,3,4,3,3,1,4
170074290,3,2,2,2,2,3,3
170074294,3,3,3,3,4,4,4
170074296,3,3,4,4,4,4,4
170074297,4,2,4,4,4,4,4
170074298,4,1,4,4,4,4,4
170074304,4,3,3,3,4,3,4
170074305,4,3,2,2,3,3,4
170074306,4,4,4,4,4,4,4
170074307,4,1,4,4,1,1,1
170074310,3,4,4,1,3,4,4
170074311,1,1,4,4,1,1,1
170074312,3,3,4,3,4,3,3
170074313,3,3,3,3,3,3,3
170074314,3,4,4,4,4,4,4
170074315,4,2,4,3,3,3,3
170074320,3,1,4,4,4,4,4
170074321,3,3,4,4,4,4,4
170074331,1,2,4,4,1,1,1
170074336,3,3,3,4,3,3,3
170074339,4,4,4,4,4,4,4
170074344,2,2,1,4,1,1,4
170074348,3,3,3,4,2,2,4
170074351,3,2,3,3,3,3,4
170074355,1,1,3,4,1,1,3
170074356,3,3,3,3,2,4,4
170074362,3,3,3,3,3,3,3
170074363,3,3,4,4,4,4,4
170074376,4,2,4,4,3,3,4
170074382,3,3,3,3,3,3,3
170074385,2,1,1,3,2,2,4
170074386,3,3,3,3,3,3,3
170074389,1,1,3,4,4,4,4
