D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
170072250,2,0,0,0,0,0,0,0,0,0,2
170072251,1,1,1,1,0,0,0,0,0,0,0
170072252,0,0,0,0,0,0,0,0,0,0,0
170072254,1,1,1,1,1,1,1,1,1,1,1
170072267,1,1,1,0,0,0,0,0,0,0,0
170072268,0,0,0,0,0,0,0,0,0,0,0
170072269,0,0,0,0,0,0,0,0,0,0,0
170072273,1,1,1,1,1,1,1,1,1,1,1
170072295,2,1,1,1,1,1,1,1,1,1,1
170072306,0,0,0,0,0,0,0,0,0,0,0
170072349,2,0,0,0,0,0,0,0,0,0,0
170072360,0,0,0,0,0,0,0,0,0,0,0
170072362,0,0,0,1,0,0,0,0,0,0,0
170072372,1,0,0,0,0,0,0,0,0,0,0
170072375,0,2,1,1,1,1,1,0,0,0,0
170072388,0,0,0,0,0,0,0,0,0,0,0
170072414,2,1,2,1,1,1,1,1,1,1,1
170072419,2,1,1,1,1,1,2,1,1,1,1
170072422,2,0,2,0,0,0,0,0,0,0,0
170072423,2,2,1,1,2,2,1,2,1,2,2
170072437,0,1,1,1,1,1,1,1,1,2,2
170072455,0,0,0,0,0,0,0,0,0,0,0
170072499,2,1,1,0,0,1,1,0,1,1,1
170072505,0,0,0,0,0,0,0,0,0,0,0
170072508,2,2,2,2,1,2,2,2,2,2,2
170072509,1,0,1,1,1,1,1,1,1,1,1
170072560,2,0,0,0,0,0,0,0,0,0,0
170072569,0,2,0,0,0,0,2,0,0,0,0
170072570,2,2,1,0,0,2,0,2,2,2,2
170072572,0,0,0,0,0,0,0,0,0,0,0
170072605,2,0,2,0,0,2,2,2,0,2,2
170072606,1,1,1,2,1,2,2,2,1,2,1
170072607,2,2,1,1,1,2,2,2,2,2,2
170072614,2,1,1,1,1,1,1,1,1,1,1
170072615,1,2,2,1,0,0,1,0,0,0,0
170072617,0,0,0,0,0,0,0,0,0,0,0
170072620,0,0,0,0,0,0,0,0,0,0,0
170072621,1,1,1,1,1,1,1,1,1,1,1
170072641,0,0,0,0,0,0,0,0,0,0,0
170072642,0,0,0,0,0,0,0,0,0,0,0
170072645,1,1,0,0,0,1,0,0,0,1,0
170072648,0,0,0,0,0,0,0,0,0,0,0
170072649,0,0,0,0,0,0,0,0,0,0,0
170072650,1,0,1,0,0,0,0,1,0,0,0
170072652,0,0,0,0,0,0,0,0,0,0,0
170072654,0,2,0,2,0,0,0,0,0,0,0
