D_INTERVIEW,Q165,Q166,Q167,Q168
276070616,1,1,1,1
276070617,1,2,2,2
276070618,1,1,2,2
276070619,2,2,2,2
276070620,1,1,2,2
276070621,-1,2,2,2
276070622,1,1,2,2
276070623,2,2,2,2
276070624,2,2,2,2
276070625,2,2,2,2
276070626,-2,2,2,2
276070627,2,2,2,2
276070628,-2,-2,-2,-2
276070629,2,2,2,2
276070630,1,-1,2,1
276070631,-1,1,2,2
276070632,1,2,2,1
276070633,1,1,2,-1
276070634,1,2,2,2
276070635,-2,-1,2,-1
276070636,2,2,2,2
276070637,1,1,1,1
276070638,1,1,2,2
276070639,2,1,2,2
276070640,1,-1,2,2
276070641,1,1,2,1
276070642,1,2,2,1
276070643,2,2,2,2
276070644,2,2,2,2
276070645,2,2,2,2
276070646,-1,2,2,1
276070647,1,1,-1,-1
276070648,1,1,1,1
276070649,2,2,2,2
276070650,2,2,2,2
276070651,2,2,2,2
276070652,1,1,2,1
276070653,1,1,2,1
276070654,1,1,1,1
276070655,1,-1,2,2
276070656,1,2,2,2
276070657,1,1,1,1
276070658,2,2,2,2
276070659,1,1,1,1
276070660,2,2,2,2
276070661,2,2,2,2
276070662,2,2,2,2
276070663,2,2,2,2
276070664,2,2,2,2
276070665,1,2,2,-1
276070666,1,-1,2,1
276070667,1,2,2,2
276070668,1,2,2,1
276070669,1,2,2,2
276070670,1,1,2,1
276070671,1,1,1,1
276070672,1,1,2,1
276070673,2,2,2,2
276070674,2,2,2,2
276070675,2,2,2,2
276070676,1,2,2,2
276070677,1,1,1,1
276070678,1,2,2,2
276070679,2,1,2,2
276070680,1,2,2,2
276070681,-1,2,2,2
276070682,1,2,2,1
276070683,2,2,2,2
276070684,1,1,2,2
276070685,2,-1,2,2
276070686,1,-1,2,-1
276070687,2,2,2,2
276070688,2,2,2,2
276070689,1,2,2,2
276070690,1,2,2,2
276070691,1,1,2,2
276070692,-1,-1,-1,-1
276070693,1,1,-1,1
276070694,1,1,1,1
276070695,-1,-1,-1,-1
276070696,2,2,2,2
276070697,1,1,2,2
276070698,2,2,2,2
276070699,2,1,2,1
276070700,1,1,1,1
276070701,2,2,2,2
276070702,1,2,-2,-2
276070703,1,1,2,2
276070704,-1,2,2,1
276070705,-2,-2,-2,-2
