D_INTERVIEW,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104
51070287,0,0,0,0,0,0,0,0,0,0,0
51070288,0,0,0,0,0,0,0,0,0,0,0
51070289,0,0,0,0,0,0,0,0,0,0,0
51070290,0,0,0,0,0,0,0,0,0,0,0
51070291,0,0,0,0,0,0,0,0,0,0,0
51070292,2,0,0,0,0,0,0,0,0,0,0
51070293,1,0,1,0,0,0,0,0,0,0,0
51070294,0,0,1,0,0,0,0,0,0,0,0
51070295,0,0,0,0,0,0,0,0,0,0,0
51070296,0,0,0,0,0,0,0,0,0,0,0
51070297,0,0,0,0,0,0,0,0,0,0,0
51070298,0,0,0,0,0,0,0,0,0,0,0
51070299,0,0,0,0,0,0,0,0,0,0,0
51070300,2,0,0,0,0,0,0,0,0,0,0
51070301,0,0,0,0,0,0,0,0,0,0,0
51070302,0,0,2,0,0,0,0,0,0,0,0
51070303,0,0,0,0,0,0,0,0,0,0,0
51070304,0,0,0,0,0,0,0,0,0,0,0
51070305,0,0,0,-1,0,0,0,0,0,0,0
51070306,0,0,0,0,0,0,0,0,0,0,0
51070307,0,0,0,0,0,0,0,0,0,0,0
51070308,0,0,0,0,0,0,0,0,0,0,0
51070309,0,0,0,0,0,0,0,0,0,0,0
51070310,0,0,0,0,0,0,0,0,0,0,0
51070311,0,0,0,0,0,1,0,2,0,0,0
51070312,0,0,0,0,0,0,0,0,0,0,0
51070313,0,0,0,0,0,0,0,0,0,0,0
51070314,0,0,0,0,0,0,0,0,0,0,0
51070315,0,0,1,0,0,2,0,1,0,1,0
51070316,2,2,2,0,0,1,2,2,1,1,2
51070317,0,1,0,0,0,0,0,0,0,0,0
51070318,2,0,1,0,1,1,2,1,1,2,0
51070319,1,2,1,0,0,0,0,2,0,0,0
51070320,0,0,0,0,0,0,0,0,0,0,0
51070321,0,0,0,0,0,0,2,0,0,0,0
51070322,0,0,0,0,0,0,0,0,0,0,0
51070323,0,0,0,0,0,0,0,0,0,0,0
51070324,0,0,0,0,0,0,0,0,0,0,0
51070325,0,0,0,0,2,0,0,0,0,0,0
51070326,2,0,0,0,0,0,0,0,0,0,0
51070327,0,0,0,0,0,0,0,0,0,0,0
51070328,0,0,0,0,0,0,0,0,0,0,0
51070329,0,0,0,0,0,0,0,0,0,0,0
51070330,0,0,0,0,0,0,0,0,0,0,0
51070331,0,0,0,0,0,0,0,0,0,0,0
51070332,2,0,0,0,0,0,0,0,0,0,0
51070333,0,0,0,0,0,0,0,0,0,0,0
51070334,1,0,0,0,0,0,0,0,0,0,0
51070335,0,0,0,0,0,0,0,0,0,0,0
51070336,0,0,0,0,0,0,0,0,0,0,0
51070337,0,0,0,0,0,0,0,0,0,0,0
51070338,0,0,0,0,0,0,0,0,0,0,0
51070339,0,0,0,0,0,0,0,0,0,0,0
51070340,0,0,0,0,0,0,0,0,0,0,0
51070341,0,0,0,0,0,0,0,0,0,0,0
51070342,0,0,0,0,0,0,0,0,0,0,0
51070343,1,0,0,0,0,0,0,0,0,0,0
51070344,0,0,0,0,0,0,0,0,0,0,0
51070345,0,0,0,0,0,0,0,0,0,0,0
51070346,0,0,0,0,0,0,0,0,0,0,0
51070347,0,0,0,0,0,0,0,0,0,0,0
51070348,0,0,0,0,0,0,0,0,0,0,0
51070349,0,0,0,0,0,0,0,0,0,0,0
51070350,0,0,0,0,0,0,0,0,0,0,0
51070351,0,0,0,0,0,0,0,0,0,0,0
51070352,0,0,2,2,2,0,0,0,0,2,2
51070353,0,0,0,0,0,0,0,0,0,0,0
51070354,0,0,0,0,0,0,0,0,0,0,0
51070355,0,0,0,0,0,0,0,0,0,0,0
51070356,0,0,0,0,0,0,0,0,0,0,0
51070357,0,0,0,0,0,0,0,0,0,0,0
51070358,0,0,0,0,0,0,0,0,0,0,0
51070359,0,0,2,0,0,0,0,0,0,0,0
51070360,0,0,0,0,0,0,0,2,0,0,0
51070361,0,0,0,0,0,0,0,0,0,0,0
51070362,2,0,0,0,0,0,0,2,0,0,0
51070363,0,0,0,0,0,0,0,0,0,0,0
51070364,0,0,0,0,0,0,0,0,0,0,0
51070365,0,0,0,0,0,0,0,0,0,0,0
51070366,2,0,0,0,0,0,0,0,0,0,0
51070367,0,0,0,0,0,0,0,0,0,0,0
51070368,0,0,0,0,0,0,0,0,0,0,0
51070369,1,0,1,0,0,0,0,0,0,0,0
51070370,0,0,0,0,0,0,0,0,0,0,0
51070371,0,0,0,0,0,0,0,0,0,0,0
51070372,0,0,0,0,0,0,0,0,0,0,0
51070373,0,0,0,0,0,0,0,0,0,0,0
51070374,0,0,0,0,0,0,0,0,0,0,0
51070375,0,0,0,0,0,0,0,0,0,0,0
51070376,0,0,0,0,0,0,0,0,0,0,0
51070377,0,0,0,0,0,0,0,0,0,0,0
51070378,0,2,0,0,0,0,0,0,0,0,0
51070379,0,0,0,0,0,0,0,0,0,0,0
51070380,0,0,0,0,0,0,0,0,0,0,0
51070381,2,2,2,0,0,0,0,2,0,2,0
51070382,0,0,0,0,0,0,0,0,0,0,0
51070383,1,2,2,0,0,1,0,1,0,1,0
51070384,0,0,0,0,0,0,0,0,0,0,0
51070385,1,0,0,0,0,0,0,0,0,0,0
51070386,0,0,0,0,0,0,0,0,0,0,0
51070387,0,0,0,0,0,0,0,0,0,0,0
51070388,2,0,2,0,0,0,0,0,-1,0,0
51070389,0,1,2,0,0,1,0,2,0,1,0
51070390,0,0,0,0,0,0,0,0,0,0,0
51070391,0,0,0,-1,0,0,0,0,0,0,0
51070392,0,0,0,0,0,0,0,0,0,0,0
51070393,2,0,2,0,0,0,0,0,0,0,0
51070394,0,0,0,0,0,0,0,0,0,0,0
51070395,0,0,0,0,0,0,0,0,0,0,0
51070396,0,0,0,0,0,0,0,0,0,0,0
51070397,0,0,0,0,0,0,0,0,0,0,0
51070398,0,0,0,0,0,0,0,0,0,0,0
51070399,0,0,0,0,0,0,0,0,0,0,0
51070400,0,0,0,0,0,0,0,0,0,0,0
51070401,0,0,0,0,0,0,0,0,0,0,0
51070402,0,0,0,0,0,0,0,0,0,0,0
51070403,0,2,0,0,0,0,0,0,0,0,0
51070404,0,0,0,0,0,0,0,0,0,0,0
51070405,1,0,0,0,0,0,0,0,0,0,0
51070406,0,0,0,0,0,0,0,0,0,0,0
51070407,0,0,0,0,0,0,0,0,0,0,0
51070408,0,0,0,0,0,0,0,0,0,0,0
51070409,0,0,0,0,0,0,0,0,0,0,0
51070410,1,0,0,0,0,0,0,0,0,0,0
51070411,0,0,0,0,0,0,0,0,0,0,0
51070412,0,0,0,0,0,0,0,0,0,0,0
51070413,0,0,0,0,0,0,0,0,0,0,0
51070414,0,0,0,0,0,0,0,0,0,0,0
51070415,0,0,0,0,0,0,0,0,0,0,0
51070416,0,0,0,0,0,0,0,0,0,0,0
51070417,0,0,0,-1,0,0,0,0,0,0,0
51070418,0,0,0,0,0,0,0,0,0,0,0
51070419,0,0,0,0,0,0,0,0,0,0,0
51070420,0,0,0,0,0,0,0,0,0,0,0
51070421,0,0,0,0,0,0,0,0,0,0,0
51070422,2,2,2,0,0,1,2,2,0,0,0
51070423,0,0,1,0,1,0,0,0,0,0,0
51070424,0,2,2,0,0,0,0,0,0,0,0
51070425,0,0,0,0,1,0,0,0,0,0,0
51070426,0,0,0,0,0,0,0,0,0,0,0
51070427,1,2,0,0,0,0,0,0,0,0,0
51070428,0,0,0,0,0,0,0,0,0,0,0
51070429,0,0,0,0,0,0,0,0,0,0,0
51070430,0,0,0,0,0,0,0,0,0,0,0
51070431,1,0,1,0,0,1,0,1,-1,0,-1
51070432,0,2,2,0,0,1,1,2,0,0,0
51070433,0,0,0,0,0,0,0,0,0,0,0
51070434,-1,0,0,0,0,0,0,0,0,0,0
51070435,2,0,0,0,0,0,0,0,0,0,0
51070436,0,0,0,0,0,0,0,0,0,0,0
51070437,0,0,0,0,2,0,0,0,0,0,0
51070438,0,0,0,0,0,0,0,0,0,0,0
51070439,0,0,0,0,0,0,0,0,0,0,0
51070440,0,0,0,0,0,0,0,0,0,0,0
51070441,0,0,0,0,0,0,0,0,0,0,0
51070442,0,0,0,0,0,0,0,0,0,0,0
51070443,0,0,0,0,0,0,0,0,0,0,0
51070444,0,0,1,2,0,1,0,2,0,2,0
51070445,0,0,0,1,0,0,0,0,0,0,0
51070446,0,0,0,0,0,0,0,0,0,0,0
51070447,0,0,0,0,0,0,0,0,0,0,0
51070448,0,0,0,0,0,0,0,0,0,0,0
51070449,2,0,0,0,0,0,0,0,0,0,0
51070450,0,0,0,0,0,0,0,0,0,0,0
51070451,0,0,0,0,0,0,0,0,0,0,0
51070452,0,0,0,0,0,1,0,1,2,0,0
51070453,1,0,0,0,0,0,0,0,0,0,0
51070454,1,0,0,0,0,0,-1,0,0,0,0
51070455,0,1,2,0,0,2,2,2,0,2,2
51070456,0,0,0,0,0,0,0,0,0,0,0
51070457,0,0,0,0,0,0,0,0,0,0,0
51070458,0,0,0,0,0,0,0,-1,0,0,0
51070459,0,0,0,0,0,0,0,0,0,1,0
51070460,0,0,0,0,0,0,0,0,0,0,0
51070461,0,0,0,0,0,0,0,0,0,0,0
51070462,0,0,0,0,0,0,0,0,0,0,0
51070463,0,0,0,0,0,0,0,0,0,0,0
51070464,0,0,0,0,0,0,0,0,0,0,0
51070465,0,0,0,0,0,0,0,0,0,0,0
51070466,0,0,0,0,0,0,0,0,0,0,0
51070467,0,0,0,0,0,0,0,0,0,0,0
51070468,0,0,0,0,0,0,0,0,0,0,0
51070469,0,0,0,0,0,0,0,0,0,0,0
51070470,0,0,0,0,0,0,0,0,0,0,0
51070471,0,0,0,0,0,0,0,0,0,0,0
51070472,0,0,0,0,0,0,0,0,0,0,0
51070473,0,0,0,0,0,0,0,0,0,0,0
51070474,0,0,0,0,0,0,0,0,0,0,0
51070475,0,0,0,0,0,0,0,0,0,0,0
51070476,0,0,0,0,0,0,0,0,0,0,0
51070477,0,0,0,0,0,0,0,0,0,0,0
51070478,0,0,0,0,0,0,0,0,0,0,0
51070479,0,0,0,0,0,0,0,0,0,0,0
51070480,0,0,0,0,0,0,0,0,0,0,0
51070481,0,0,0,0,0,0,0,0,0,0,0
51070482,0,0,0,0,0,0,0,2,0,0,0
51070483,0,0,0,0,0,0,0,0,0,0,0
51070484,0,0,0,0,0,0,0,0,0,0,0
51070485,0,0,0,0,0,0,0,0,0,0,0
51070486,0,0,0,0,0,0,0,0,0,0,0
51070487,0,0,0,0,0,0,0,0,0,0,0
51070488,0,0,0,0,0,0,0,0,0,0,0
51070489,0,0,0,0,0,0,0,0,0,0,0
51070490,0,0,0,0,0,0,0,0,0,0,0
51070491,0,0,0,0,0,0,0,0,0,0,0
51070492,0,0,0,0,0,0,0,0,0,0,0
51070493,0,0,0,0,0,0,0,0,0,0,0
51070494,0,0,0,0,0,0,0,0,0,0,0
51070495,0,-1,0,0,0,0,0,0,0,0,0
51070496,1,0,0,0,0,0,0,0,0,0,0
51070497,0,0,0,0,0,0,0,0,0,0,0
51070498,2,0,1,1,0,1,0,1,1,1,1
51070499,1,0,1,0,0,0,0,0,0,0,0
51070500,1,2,2,1,0,1,2,2,1,1,0
51070501,0,0,0,0,0,0,0,0,0,0,0
51070502,0,0,2,0,0,0,0,0,0,0,0
51070503,1,0,1,0,0,0,0,0,0,0,0
51070504,2,0,0,0,0,0,0,0,0,0,0
51070505,0,0,0,0,0,0,0,0,0,0,0
51070506,0,0,0,0,0,0,0,0,0,0,0
51070507,0,2,0,0,0,0,0,0,0,0,0
51070508,0,0,2,0,0,0,0,0,0,0,0
51070509,0,1,0,0,0,1,0,0,0,0,0
51070510,0,0,0,0,0,0,2,0,0,0,0
51070511,0,0,0,0,0,0,0,0,0,0,0
51070512,0,0,0,0,0,0,0,0,0,0,0
51070513,0,0,0,0,0,0,0,1,0,0,0
51070514,0,-1,0,0,0,0,0,0,0,0,0
51070515,0,0,0,0,0,0,0,0,0,0,0
51070516,0,0,0,1,0,0,0,0,0,0,0
51070517,0,0,0,0,0,0,0,0,0,0,0
51070518,0,0,0,0,0,0,0,0,0,0,0
51070519,0,0,0,0,0,0,0,0,0,0,0
51070520,1,0,0,0,0,0,0,0,0,0,0
51070521,0,0,0,0,0,0,0,0,0,0,0
51070522,1,0,0,0,0,0,0,0,0,0,0
51070523,0,0,0,0,0,0,0,0,0,0,0
51070524,0,0,0,0,0,0,0,0,0,0,0
51070525,0,0,0,0,0,0,0,0,0,0,0
51070526,0,0,0,0,0,0,0,0,0,0,0
51070527,0,0,0,0,0,0,0,0,0,0,0
51070528,0,0,0,0,0,0,0,0,0,0,0
51070529,0,0,0,0,0,0,0,0,0,0,0
