D_INTERVIEW,Q165,Q166,Q167,Q168
300070666,1,1,1,1
300070667,1,2,2,2
300070668,1,2,2,2
300070669,1,1,1,1
300070670,1,1,1,1
300070671,1,1,2,2
300070672,1,1,1,1
300070673,1,1,1,1
300070674,1,1,1,1
300070675,1,2,2,2
300070676,1,1,1,1
300070677,1,1,1,1
300070678,1,1,1,1
300070679,1,2,2,2
300070680,1,1,1,1
300070681,1,1,1,1
300070682,1,1,1,1
300070683,1,1,1,1
300070684,1,1,1,1
300070685,1,1,1,1
300070686,1,1,1,1
300070687,1,1,1,1
300070688,1,1,1,1
300070689,1,1,1,1
300070690,1,1,1,1
300070691,1,1,2,2
300070692,1,1,1,1
300070693,1,1,2,2
300070694,1,1,1,1
300070695,1,1,1,1
300070696,1,1,1,1
300070697,1,1,2,2
300070698,1,1,1,1
300070699,1,1,1,1
300070700,1,1,1,1
300070701,1,1,1,1
300070702,1,2,1,1
300070703,1,1,1,1
300070704,1,1,1,1
300070705,1,1,1,1
300070706,1,2,2,2
300070707,1,1,1,1
300070708,1,-1,-1,-1
300070709,1,2,2,2
300070710,1,1,1,1
300070711,1,2,2,2
300070712,1,2,2,2
300070713,1,2,2,2
300070714,1,2,2,2
300070715,1,2,2,2
300070716,1,2,2,2
300070717,1,2,2,2
300070718,1,2,2,2
300070719,1,2,2,2
300070720,1,2,2,2
300070721,1,2,2,2
300070722,1,2,2,2
300070723,1,2,2,2
300070724,1,2,2,2
300070725,1,2,2,2
300070726,1,2,2,2
300070727,1,2,2,2
300070728,1,2,2,2
300070729,1,2,2,2
300070730,1,2,2,2
300070731,1,1,1,1
300070732,1,1,1,1
300070733,1,1,1,1
300070734,1,1,1,1
300070735,1,1,1,1
300070736,1,1,1,1
300070737,1,1,1,1
300070738,1,1,1,1
300070739,1,1,1,1
300070740,1,1,1,1
300070741,2,2,2,2
300070742,1,1,1,1
300070743,1,2,2,2
300070744,1,1,1,1
300070745,1,2,2,2
300070746,1,1,1,1
300070747,1,2,1,1
300070748,1,1,1,1
300070749,1,2,1,1
300070750,1,1,1,1
300070751,1,1,1,1
300070752,2,2,2,2
300070753,1,1,2,2
300070754,1,2,1,1
300070755,1,1,2,2
300070756,1,1,1,1
300070757,1,1,1,1
300070758,1,2,2,2
300070759,1,1,1,1
300070760,1,2,2,2
300070761,1,1,2,2
300070762,1,2,2,2
300070763,1,1,1,1
300070764,1,2,1,1
300070765,1,2,2,2
300070766,1,1,1,1
300070767,1,1,1,1
300070768,1,2,1,1
300070769,1,1,2,2
300070770,1,2,2,2
300070771,1,1,1,1
300070772,1,1,1,1
300070773,1,2,2,2
300070774,1,1,1,1
300070775,1,1,1,1
300070776,1,1,1,1
300070777,1,1,1,1
300070778,1,1,1,1
300070779,1,1,1,1
300070780,1,1,1,1
300070781,-1,1,-1,-1
300070782,1,2,2,2
300070783,1,2,1,1
300070784,1,2,2,1
300070785,1,-1,-1,1
300070786,2,1,1,2
300070787,1,2,2,2
300070788,1,2,2,1
300070789,1,2,2,2
300070790,1,-2,-2,-2
300070791,-2,-2,-2,-2
300070792,-2,2,2,2
300070793,1,1,1,1
300070794,1,1,1,1
300070795,1,-2,-2,-2
300070796,1,-1,-1,1
300070797,1,-1,-1,1
300070798,1,-1,1,1
300070799,1,1,1,1
300070800,1,-1,-1,1
300070801,1,-1,-1,1
300070802,1,-2,-2,-2
300070803,1,-2,-2,-2
300070804,1,2,2,2
300070805,1,1,2,2
300070806,1,1,1,1
300070807,1,2,2,2
300070808,1,1,2,2
300070809,1,1,1,1
300070810,1,1,-1,-1
300070811,1,2,1,1
300070812,1,1,1,1
300070813,1,2,2,2
300070814,1,1,1,1
300070815,1,1,1,1
300070816,1,2,1,1
300070817,1,1,1,1
300070818,2,2,2,2
300070819,1,2,2,2
300070820,1,2,-1,-1
300070821,1,2,2,2
300070822,1,1,1,1
300070823,1,2,2,2
300070824,1,2,2,2
300070825,1,1,1,1
300070826,1,2,2,2
300070827,1,1,1,1
300070828,1,2,2,2
300070829,1,1,1,1
300070830,1,1,1,1
300070831,1,1,1,1
300070832,1,1,1,1
300070833,1,1,-1,-1
300070834,1,2,2,2
300070835,2,2,2,2
300070836,1,1,1,1
300070837,1,1,1,1
300070838,1,2,2,2
300070839,2,2,2,2
300070840,2,2,2,2
300070841,1,1,2,2
300070842,1,2,2,2
300070843,2,2,2,2
300070844,2,2,2,2
300070845,1,1,1,1
300070846,1,1,1,1
300070847,-1,-1,-1,-1
300070848,1,1,1,1
300070849,1,1,1,1
300070850,1,1,1,1
300070851,1,2,2,2
300070852,1,1,1,1
300070853,1,2,2,2
300070854,1,-2,-2,-2
300070855,2,2,2,2
300070856,1,1,1,1
300070857,1,2,2,2
300070858,1,1,2,2
300070859,1,-1,-1,-1
300070860,1,1,1,1
300070861,1,1,1,1
300070862,1,1,1,1
300070863,1,2,1,1
300070864,1,2,1,1
300070865,1,2,2,2
300070866,-2,1,2,2
300070867,1,2,2,2
300070868,1,1,2,2
300070869,2,2,2,2
300070870,1,1,2,1
300070871,1,1,1,1
300070872,1,1,-1,-1
300070873,1,1,-1,-1
300070874,1,1,1,1
300070875,1,-1,-1,-1
300070876,1,1,1,1
300070877,1,1,1,1
300070878,1,-1,-1,-1
300070879,1,-1,-1,-1
300070880,1,1,-1,-1
300070881,1,2,1,1
300070882,1,2,1,1
300070883,1,2,1,1
300070884,1,2,1,1
300070885,1,2,1,1
300070886,1,2,1,1
300070887,1,1,1,1
300070888,1,2,2,2
300070889,1,2,2,2
300070890,1,2,1,1
300070891,1,-1,-1,-1
300070892,1,2,2,2
300070893,1,1,1,1
300070894,1,-1,-1,-1
300070895,1,1,-1,-1
300070896,1,1,-1,-1
300070897,1,2,2,2
300070898,1,2,2,2
300070899,1,1,1,1
300070900,1,1,1,1
300070901,2,2,2,2
300070902,1,1,1,1
300070903,1,1,1,1
300070904,1,1,1,1
300070905,1,1,1,1
300070906,1,1,1,1
300070907,1,1,1,1
300070908,1,2,2,2
300070909,1,1,1,1
300070910,1,1,1,1
300070911,1,2,1,1
300070912,1,1,1,1
300070913,1,1,1,1
300070914,1,1,1,1
300070915,1,1,1,1
300070916,1,2,1,1
300070917,1,2,2,2
300070918,1,1,1,1
300070919,1,2,2,2
300070920,1,2,1,1
300070921,1,2,2,2
300070922,1,1,1,1
300070923,1,-1,1,1
300070924,1,2,1,1
300070925,1,1,1,1
300070926,1,1,1,1
300070927,1,2,2,2
300070928,2,2,2,2
300070929,1,1,1,1
300070930,1,2,1,1
300070931,1,2,2,2
300070932,1,2,2,2
300070933,1,1,1,1
300070934,1,2,2,2
300070935,1,2,1,1
300070936,1,2,2,2
300070937,1,1,1,1
300070938,1,2,1,1
300070939,1,1,1,1
300070940,1,2,2,2
300070941,1,1,1,1
300070942,1,1,1,1
300070943,1,1,1,1
300070944,1,1,1,1
300070945,1,1,1,1
300070946,1,1,1,1
300070947,1,1,1,1
300070948,1,-1,-1,-1
300070949,1,1,1,1
300070950,1,1,1,1
300070951,1,-2,-2,-2
300070952,1,2,2,2
300070953,1,1,1,1
300070954,1,1,1,1
300070955,-2,-2,-2,-2
300070956,1,1,1,1
300070957,1,1,1,1
300070958,1,-2,-2,-2
300070959,1,2,2,2
300070960,1,2,-1,-1
300070961,1,1,2,2
300070962,1,1,1,1
300070963,1,1,-1,-1
300070964,1,1,1,1
300070965,1,1,1,1
300070966,1,1,1,1
300070967,1,2,2,2
300070968,1,1,1,1
300070969,1,1,-1,-1
300070970,1,1,-2,-2
300070971,1,1,1,1
300070972,1,1,-1,-1
300070973,1,2,2,2
300070974,1,1,1,1
300070975,1,2,2,2
300070976,1,2,2,2
300070977,1,2,-1,-1
300070978,1,1,1,1
300070979,1,2,2,2
300070980,1,2,-1,-1
300070981,1,-1,-1,-1
300070982,1,1,1,1
300070983,1,2,2,2
300070984,1,1,1,1
300070985,1,1,1,1
300070986,1,1,1,1
300070987,1,1,1,1
300070988,1,2,2,2
300070989,1,1,1,1
300070990,1,1,1,1
300070991,1,-1,-1,-1
300070992,1,2,2,2
300070993,1,1,-1,-1
300070994,1,2,2,2
300070995,1,2,2,2
300070996,1,2,2,2
300070997,1,1,-1,-1
300070998,1,1,-1,-1
300070999,1,1,-1,-1
300071000,1,2,2,2
300071001,1,1,2,2
300071002,1,-1,-1,-1
300071003,1,2,1,1
300071004,1,2,2,2
300071005,1,2,2,2
300071006,2,2,2,2
300071007,1,2,1,1
300071008,1,1,1,1
300071009,1,2,1,1
300071010,1,1,1,1
300071011,1,2,2,2
300071012,1,-1,1,1
300071013,1,2,2,2
300071014,1,2,2,2
300071015,1,2,2,2
300071016,1,2,2,2
300071017,1,1,2,1
300071018,1,2,2,2
300071019,1,2,1,1
300071020,1,2,2,2
300071021,1,1,-1,-1
300071022,1,2,2,2
300071023,1,2,2,2
300071024,1,2,-1,-1
300071025,1,2,2,2
300071026,1,-1,-1,-1
300071027,1,1,-1,-1
300071028,1,2,2,2
300071029,1,-2,-1,-1
300071030,1,1,-1,-1
300071031,1,2,2,2
300071032,1,2,2,2
300071033,1,1,1,1
300071034,1,1,-1,-1
300071035,1,2,2,2
300071036,1,-1,-1,-1
300071037,1,2,2,2
300071038,1,1,-1,-1
300071039,1,2,2,2
300071040,1,2,2,2
300071041,1,1,1,1
300071042,1,2,2,2
300071043,1,2,2,2
300071044,1,2,2,2
300071045,1,2,2,2
300071046,1,2,2,2
300071047,1,2,1,1
300071048,1,1,1,1
300071049,1,1,2,2
300071050,1,1,1,1
300071051,2,2,2,2
300071052,1,1,1,1
300071053,1,2,2,2
300071054,1,1,2,2
300071055,1,1,1,1
300071056,1,2,2,2
300071057,1,2,2,2
300071058,1,2,2,2
300071059,1,1,1,1
300071060,1,1,1,1
300071061,1,2,2,2
300071062,1,2,2,2
300071063,1,-1,1,1
300071064,1,2,2,2
300071065,1,1,1,1
300071066,1,2,1,1
300071067,1,2,2,2
300071068,1,1,1,1
300071069,1,2,2,2
300071070,1,1,1,1
300071071,1,2,2,2
300071072,1,2,2,2
300071073,1,1,1,1
300071074,1,1,1,1
300071075,1,1,1,1
300071076,1,1,1,1
300071077,1,1,1,1
300071078,1,2,1,1
300071079,1,-1,-1,-1
300071080,1,2,1,1
300071081,1,2,2,2
300071082,1,2,2,2
300071083,1,2,1,1
300071084,1,2,2,2
300071085,1,1,1,1
300071086,1,-1,-1,-1
300071087,1,2,2,2
300071088,1,2,2,2
300071089,1,2,2,2
300071090,1,2,2,2
300071091,1,1,1,1
300071092,1,2,2,2
300071093,1,1,1,1
300071094,1,2,2,2
300071095,1,1,1,1
300071096,1,2,2,2
300071097,1,1,1,1
300071098,1,1,1,1
300071099,1,1,1,1
300071100,1,2,2,2
300071101,2,2,2,2
300071102,1,1,1,1
300071103,1,1,1,1
300071104,1,2,2,2
300071105,1,1,1,1
300071106,1,2,2,2
300071107,1,2,2,2
300071108,1,1,1,1
300071109,1,1,1,1
300071110,1,1,1,1
300071111,1,2,2,2
300071112,-1,-1,-1,-1
300071113,1,-1,2,2
300071114,1,-1,2,2
300071115,1,2,2,2
300071116,1,2,2,2
300071117,1,-1,-1,-1
300071118,-1,1,2,2
300071119,1,2,2,2
300071120,1,2,2,2
300071121,1,1,1,1
300071122,1,1,1,1
300071123,1,2,2,2
300071124,1,2,2,2
300071125,1,1,1,1
