D_INTERVIEW,Q132,Q133,Q134,Q135,Q136,Q137,Q138
484070341,3,3,4,4,3,3,3
484070342,1,3,4,2,4,2,2
484070343,2,2,3,3,4,4,4
484070344,3,1,3,1,1,1,1
484070345,1,3,3,3,1,2,2
484070346,2,2,1,4,1,4,4
484070347,1,1,4,4,3,2,2
484070348,3,3,3,3,2,2,3
484070349,1,2,3,4,2,2,2
484070350,1,1,4,4,1,3,4
484070351,3,3,3,3,2,3,3
484070352,2,2,3,4,2,2,2
484070353,1,1,4,4,2,3,2
484070354,1,1,3,4,1,1,1
484070355,3,4,2,4,4,4,4
484070356,1,1,4,4,4,1,4
484070357,2,1,4,4,1,1,2
484070358,3,3,3,4,3,3,3
484070359,2,3,4,3,3,3,3
484070360,3,3,4,4,4,4,3
484070361,3,3,4,3,2,2,2
484070362,2,3,4,4,4,4,4
484070363,3,2,2,3,4,4,4
484070364,3,3,4,4,3,4,3
484070365,1,1,1,1,4,4,4
484070366,2,1,1,1,3,4,4
484070367,3,2,4,4,4,4,4
484070368,3,1,4,4,1,2,4
484070369,2,2,4,4,2,4,4
484070370,3,2,3,3,3,3,2
484070371,3,3,4,4,3,3,3
484070372,3,1,4,2,2,2,2
484070373,1,1,4,4,2,2,2
484070374,2,3,2,3,3,3,2
484070375,1,1,1,2,1,2,2
484070376,3,2,3,3,3,2,2
484070377,2,2,2,3,2,2,2
484070378,1,2,3,3,2,1,2
484070379,2,2,4,4,3,3,3
484070380,1,1,1,1,1,1,1
484070381,1,1,1,1,1,1,1
484070382,1,1,1,4,1,1,1
484070383,2,1,3,4,4,1,1
484070384,1,3,4,4,3,3,3
484070385,1,1,2,3,1,1,1
484070386,2,3,4,4,4,3,4
484070387,1,1,2,1,2,1,1
484070388,1,1,4,1,1,1,1
484070389,1,1,1,2,1,1,1
484070390,1,1,2,2,1,1,1
484070391,2,2,4,3,3,2,3
484070392,3,3,3,3,4,3,2
484070393,3,3,3,3,3,3,3
484070394,2,2,1,2,1,1,1
484070395,1,2,4,4,1,3,3
484070396,1,1,2,4,2,1,4
484070397,1,1,4,4,1,2,2
484070398,3,2,3,4,4,3,4
484070399,3,1,3,4,4,3,4
484070400,3,2,4,4,4,2,4
484070401,3,3,4,4,3,4,4
484070402,3,4,4,1,3,3,1
484070403,3,2,2,3,4,3,4
484070404,1,1,4,4,1,1,2
484070405,1,2,3,4,2,3,3
484070406,1,1,3,3,2,1,3
