D_INTERVIEW,Q165,Q166,Q167,Q168
840071523,2,1,2,2
840071524,2,1,2,2
840071525,2,2,2,2
840071526,1,1,1,1
840071527,2,2,2,2
840071528,1,1,1,1
840071529,1,1,1,1
840071530,1,1,1,1
840071531,2,2,2,2
840071532,2,1,1,2
840071533,2,2,2,2
840071534,1,1,1,2
840071535,1,1,1,1
840071536,2,2,2,2
840071537,1,2,1,1
840071538,2,2,2,2
840071539,2,2,2,2
840071540,1,1,1,1
840071541,2,2,2,2
840071542,1,2,1,1
840071543,1,1,1,1
840071544,1,2,2,2
840071545,1,1,1,1
840071546,1,1,1,1
840071547,1,1,1,1
840071548,2,1,2,2
840071549,1,1,1,1
840071550,1,1,1,1
840071551,1,1,1,1
840071552,1,2,2,2
840071553,2,2,2,2
840071554,1,2,1,1
840071555,1,1,1,1
840071556,1,1,1,1
840071557,1,1,1,1
840071558,1,1,1,2
840071559,1,2,1,1
840071560,1,1,1,1
840071561,2,2,2,2
840071562,1,1,1,1
840071563,2,2,1,2
840071564,1,1,1,1
840071565,1,2,1,1
840071566,1,1,1,1
840071567,1,1,1,1
840071568,1,2,1,1
840071569,1,1,1,1
840071570,1,1,1,1
840071571,1,1,1,1
840071572,1,2,1,1
840071573,1,2,1,1
840071574,2,1,2,2
840071575,1,1,1,1
840071576,2,2,2,2
840071577,1,1,1,1
840071578,1,2,1,1
840071579,1,1,1,2
840071580,1,1,1,1
840071581,1,1,1,1
840071582,1,-2,-2,-2
840071583,1,1,2,1
840071584,1,1,1,1
840071585,1,1,1,1
840071586,1,1,1,1
840071587,2,2,2,2
840071588,1,1,1,1
840071589,1,1,1,1
840071590,1,1,1,1
840071591,1,1,1,1
840071592,1,1,1,1
840071593,1,1,1,1
840071594,1,1,1,1
840071595,1,1,1,1
840071596,2,1,1,2
840071597,1,1,1,1
840071598,1,1,1,1
840071599,1,1,1,1
840071600,1,2,1,1
840071601,1,1,1,1
840071602,2,1,1,1
840071603,1,1,1,1
840071604,1,1,1,1
840071605,1,1,1,1
840071606,1,1,1,1
840071607,1,1,1,1
840071608,1,1,1,1
840071609,1,1,1,1
840071610,1,2,1,1
840071611,2,1,1,2
840071612,1,2,2,2
840071613,1,1,2,1
840071614,1,-2,-2,-2
840071615,1,2,2,2
840071616,2,2,2,2
840071617,1,1,1,1
840071618,1,2,1,1
840071619,1,1,1,1
840071620,1,1,1,2
840071621,1,1,1,1
840071622,1,1,1,1
840071623,1,1,1,1
840071624,1,1,1,1
840071625,1,1,1,1
840071626,1,1,1,1
840071627,1,1,1,1
840071628,1,1,1,1
840071629,1,1,1,1
840071630,1,1,1,1
840071631,1,2,1,1
840071632,1,1,1,1
840071633,1,1,1,1
840071634,1,-2,-2,1
840071635,2,2,2,2
840071636,1,1,1,2
840071637,1,1,1,1
840071638,1,2,1,1
840071639,1,1,1,1
840071640,1,2,1,1
840071641,1,1,1,1
840071642,1,2,1,1
840071643,1,1,1,1
840071644,2,2,2,2
840071645,1,1,1,1
840071646,1,1,2,2
840071647,1,1,1,1
840071648,1,1,1,1
840071649,1,1,2,1
840071650,1,1,1,1
840071651,1,1,1,1
840071652,2,2,2,2
840071653,1,1,1,1
840071654,1,1,1,1
840071655,1,1,1,2
840071656,1,1,1,1
840071657,1,1,1,1
840071658,1,1,2,2
840071659,1,1,1,1
840071660,1,1,1,1
840071661,-2,1,-2,1
840071662,1,1,1,1
840071663,1,1,1,2
840071664,1,2,2,2
840071665,1,1,1,2
840071666,1,1,1,1
840071667,1,1,1,1
840071668,1,1,1,1
840071669,1,1,1,1
840071670,1,1,1,1
840071671,1,1,1,1
840071672,2,1,2,2
840071673,1,1,1,1
840071674,1,1,1,1
840071675,1,1,1,2
840071676,1,1,1,1
840071677,1,1,2,1
840071678,1,-2,1,1
840071679,1,1,1,1
840071680,1,1,1,1
840071681,1,1,1,1
840071682,1,1,1,1
840071683,1,1,1,1
840071684,1,2,1,1
840071685,1,1,1,1
840071686,1,1,1,1
840071687,1,1,1,1
840071688,1,1,1,2
840071689,2,2,2,2
840071690,1,1,1,1
840071691,1,1,1,1
840071692,1,1,1,1
840071693,1,1,1,1
840071694,1,2,1,1
840071695,1,2,1,1
840071696,1,2,2,2
840071697,1,1,1,1
840071698,1,1,1,1
840071699,1,1,1,1
840071700,1,1,1,1
840071701,1,1,1,1
840071702,1,1,1,2
840071703,1,1,1,1
840071704,1,1,1,1
840071705,2,2,2,2
840071706,1,1,1,1
840071707,1,1,1,1
840071708,2,2,2,2
840071709,1,2,1,1
840071710,2,2,2,2
840071711,1,2,1,1
840071712,1,1,1,1
840071713,1,1,2,1
840071714,1,2,1,1
840071715,1,2,2,2
840071716,1,1,1,1
840071717,1,2,2,2
840071718,1,1,1,1
840071719,1,1,1,1
840071720,2,1,2,2
840071721,1,2,1,1
840071722,1,1,2,1
840071723,1,1,1,1
840071724,1,1,1,1
840071725,1,1,1,1
840071726,1,1,1,1
840071727,1,1,1,1
840071728,2,2,2,2
840071729,1,2,1,1
840071730,1,2,2,2
840071731,1,2,1,1
840071732,1,1,1,1
840071733,1,1,1,1
840071734,1,1,1,1
840071735,1,1,1,1
840071736,1,1,2,1
840071737,1,1,1,1
840071738,1,1,1,1
840071739,1,1,1,1
840071740,1,1,1,1
840071741,2,2,1,1
840071742,1,1,1,1
840071743,1,1,1,1
840071744,1,1,1,1
840071745,1,2,1,1
840071746,2,1,2,2
840071747,1,1,1,1
840071748,1,1,1,2
840071749,1,1,1,1
840071750,1,1,1,1
840071751,1,1,1,1
840071752,1,1,1,1
840071753,1,1,1,1
840071754,1,1,1,1
840071755,1,2,1,1
840071756,1,1,1,1
840071757,1,1,1,1
840071758,1,1,1,2
